latitude,longitude,city
37.775583125,-122.456469375,San Francisco
37.71203111111111,-122.44271777777779,San Francisco
37.73636777777778,-122.39770999999999,San Francisco
37.74759909090909,-122.43151818181818,San Francisco
36.11087843761046,-115.17714783669142,Clark County
36.098710350000005,-115.21427170000001,Clark County
36.05931878787879,-115.17035525252524,Clark County
36.11085647058823,-115.28089117647059,Clark County
36.12648151724138,-115.14732172413792,Clark County
36.10197321718954,-115.13442160718954,Clark County
36.035650731707314,-115.17333717073171,Clark County
36.12864166666667,-115.17139857142857,Clark County
36.009205238095234,-115.17605206349205,Clark County
36.03902824884615,-115.23364837307692,Clark County
36.1032425974026,-114.93021701298701,Clark County
36.0981210292,-115.16739530514286,Clark County
36.10652315789474,-115.30739315789474,Clark County
36.09614,-115.24060636363637,Clark County
36.14117862068966,-115.1831975862069,Clark County
